Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
165.89999389648438,169.0,148.25999450683594,149.00999450683594,149.00999450683594,30526500,0.0,2018-04-03,13,2018,3,Tuesday,-0.1612499999999999,2.4293305490745114
140.0,148.92999267578125,135.50999450683594,144.22000122070312,144.22000122070312,11702900,-3.215,2018-04-04,13,2018,4,Wednesday,-0.1612499999999999,2.4293305490745114
149.22999572753906,152.41000366210938,141.25,143.99000549316406,143.99000549316406,7372800,-0.159,2018-04-05,13,2018,5,Thursday,-0.1612499999999999,2.4293305490745114
146.07000732421875,148.72999572753906,144.6699981689453,147.9199981689453,147.9199981689453,4228100,2.729,2018-04-06,13,2018,6,Friday,-0.1612499999999999,2.4293305490745114
149.5,151.0,148.58999633789062,150.0,150.0,2051400,1.406,2018-04-09,14,2018,9,Monday,0.17020000000000005,2.4722889596485276
152.0,156.74000549316406,151.13299560546875,154.89999389648438,154.89999389648438,2980000,3.267,2018-04-10,14,2018,10,Tuesday,0.17020000000000005,2.4722889596485276
154.0,154.14999389648438,147.5,149.57000732421875,149.57000732421875,1874000,-3.441,2018-04-11,14,2018,11,Wednesday,0.17020000000000005,2.4722889596485276
150.25,151.0,148.64999389648438,149.10000610351562,149.10000610351562,1371900,-0.314,2018-04-12,14,2018,12,Thursday,0.17020000000000005,2.4722889596485276
149.8000030517578,150.4199981689453,148.0500030517578,149.0,149.0,1608100,-0.067,2018-04-13,14,2018,13,Friday,0.17020000000000005,2.4722889596485276
150.0,150.0,142.74000549316406,144.32000732421875,144.32000732421875,1454700,-3.141,2018-04-16,15,2018,16,Monday,1.2773999999999996,3.1680178818939773
146.02000427246094,149.83999633789062,146.0,148.49000549316406,148.49000549316406,1743100,2.889,2018-04-17,15,2018,17,Tuesday,1.2773999999999996,3.1680178818939773
149.94000244140625,155.99000549316406,149.55999755859375,154.91000366210938,154.91000366210938,2235300,4.324,2018-04-18,15,2018,18,Wednesday,1.2773999999999996,3.1680178818939773
154.39999389648438,155.02999877929688,152.00999450683594,153.47000122070312,153.47000122070312,1056900,-0.93,2018-04-19,15,2018,19,Thursday,1.2773999999999996,3.1680178818939773
